run_id,Lx_m,Lz_m,H_m,dist_load_w_kNm,point_load_P_kN,beam_M_u_kNm,col_P_u_kN,col_M_u_kNm,optimal_beam_sec,optimal_col_sec,beam_mass_kg_m,col_mass_kg_m,beam_util_pct,col_util_pct,total_steel_weight_kg
1,7.84,4.15,3.55,18.93,76.28,74.3883,189.7653,74.3883,UB 254x146x31,UC 203x203x46,31.1,46.1,68.31,66.18,1400.4
2,8.06,9.35,3.17,26.88,12.68,159.0622,246.6704,134.6774,UB 305x165x40,UC 203x203x60,40.5,60.0,92.55,86.4,2171.01
3,5.31,7.03,3.05,17.95,68.49,64.1183,179.2415,46.7698,UB 203x133x25,UC 152x152x30,25.1,30.0,88.99,85.87,985.47
4,7.27,5.32,4.18,42.38,10.58,145.1635,277.3621,134.8248,UB 305x165x40,UC 203x203x60,40.5,60.0,84.46,87.94,2022.99
5,8.83,8.19,3.68,16.22,96.15,82.3783,234.1822,82.3783,UB 254x146x31,UC 203x203x46,31.1,46.1,75.65,74.78,1737.24
6,6.02,4.56,3.19,43.9,64.34,101.0413,296.571,97.8279,UB 254x146x31,UC 203x203x46,31.1,46.1,92.78,89.95,1246.31
7,8.84,8.38,4.07,48.92,44.07,255.79,465.2712,243.5307,UB 406x178x54,UC 254x254x89,54.3,89.0,85.33,86.97,3319.01
8,7.31,8.98,4.24,44.47,61.96,264.9966,424.1682,183.2632,UB 406x178x54,UC 254x254x73,54.3,73.1,88.41,83.75,3008.87
9,8.23,4.27,3.46,21.58,17.18,95.0167,152.055,95.0167,UB 254x146x31,UC 203x203x46,31.1,46.1,87.25,78.94,1415.52
10,5.4,4.61,3.56,35.43,42.83,69.3992,220.1572,59.7431,UB 203x133x25,UC 203x203x46,25.1,46.1,96.32,57.35,1158.97
11,6.22,5.26,3.53,47.47,68.32,118.6616,340.7978,110.9057,UB 305x165x40,UC 203x203x60,40.5,60.0,69.04,77.7,1777.08
12,7.65,5.03,4.46,16.54,44.15,62.9505,149.0136,58.0448,UB 203x133x25,UC 152x152x30,25.1,30.0,87.37,99.6,1171.74
13,9.94,7.84,4.11,37.38,85.86,241.0433,418.1682,241.0433,UB 406x178x54,UC 254x254x89,54.3,89.0,80.41,84.72,3394.07
14,8.66,5.37,3.06,22.62,34.1,114.2171,192.7793,114.2171,UB 305x165x40,UC 203x203x46,40.5,46.1,66.45,95.51,1700.69
15,5.27,9.66,4.75,22.59,68.99,157.4538,237.6244,106.0462,UB 305x165x40,UC 203x203x46,40.5,46.1,91.61,92.31,2085.23
16,6.37,9.49,3.92,20.6,32.2,132.293,195.558,99.6118,UB 305x165x40,UC 203x203x46,40.5,46.1,76.97,85.0,2007.51
17,7.37,5.58,4.17,45.91,45.95,160.9463,343.2172,150.7648,UB 305x165x40,UC 203x203x60,40.5,60.0,93.64,99.91,2049.75
18,5.32,9.99,4.02,13.64,14.24,96.3906,118.6542,73.7686,UB 254x146x31,UC 203x203x46,31.1,46.1,88.51,61.32,1693.57
19,4.66,7.76,4.58,26.89,15.72,126.9335,182.7069,75.4729,UB 305x165x40,UC 203x203x46,40.5,46.1,73.85,66.54,1850.57
20,6.29,9.98,4.06,48.84,87.47,345.4501,484.7834,262.6104,UB 457x191x67,UC 254x254x89,67.1,89.0,86.63,93.24,3628.79
21,4.07,8.32,4.36,31.48,34.01,165.556,229.0286,106.8341,UB 305x165x40,UC 203x203x46,40.5,46.1,96.32,92.35,1807.57
22,7.85,4.67,3.87,28.15,95.84,108.689,272.059,108.689,UB 254x146x31,UC 203x203x46,31.1,46.1,99.81,96.38,1492.37
23,9.26,5.58,4.0,17.15,92.14,95.0551,219.393,95.0551,UB 254x146x31,UC 203x203x46,31.1,46.1,87.29,83.14,1660.65
24,9.22,5.79,4.28,34.36,23.76,185.7272,281.6318,185.7272,UB 356x171x45,UC 254x254x73,45.0,73.1,87.14,79.08,2602.37
25,8.58,7.24,4.56,31.21,10.05,145.9227,256.9211,141.2732,UB 305x165x40,UC 203x203x60,40.5,60.0,84.9,90.54,2375.82
26,5.94,4.12,4.86,45.15,84.85,113.2789,311.9545,85.853,UB 305x165x40,UC 203x203x46,40.5,46.1,65.91,82.14,1711.04
27,5.85,4.35,4.76,47.88,17.71,116.3458,261.898,88.4759,UB 305x165x40,UC 203x203x46,40.5,46.1,67.69,80.96,1703.94
28,6.92,4.42,4.52,40.63,21.56,130.3294,251.9321,112.8737,UB 305x165x40,UC 203x203x46,40.5,46.1,75.83,98.19,1752.03
29,6.85,7.3,3.53,44.9,48.08,177.978,365.7475,130.5188,UB 356x171x45,UC 203x203x60,45.0,60.0,83.51,89.76,2120.7
30,5.27,7.24,4.46,18.05,38.05,75.0022,150.9528,43.265,UB 254x146x31,UC 152x152x30,31.1,30.0,68.87,78.03,1313.32
31,9.97,7.9,3.88,30.7,20.89,201.7021,295.1945,201.7021,UB 356x171x45,UC 254x254x73,45.0,73.1,94.64,85.47,2742.81
32,5.35,6.03,4.18,19.2,29.82,57.0506,139.068,30.2156,UB 203x133x25,UC 152x152x23,25.1,23.0,79.18,77.69,955.84
33,4.43,7.79,3.46,46.22,87.37,203.9574,369.7742,146.645,UB 356x171x45,UC 203x203x60,45.0,60.0,95.7,98.89,1930.2
34,4.43,5.43,4.34,18.57,21.91,46.3647,113.4601,22.0772,UB 203x133x25,UC 152x152x23,25.1,23.0,64.35,58.24,894.25
35,9.61,7.43,3.95,41.38,82.67,249.7141,435.2276,249.7141,UB 406x178x54,UC 254x254x89,54.3,89.0,83.31,87.83,3256.74
36,5.14,4.58,3.86,26.94,52.03,49.4791,182.9584,39.4889,UB 203x133x25,UC 152x152x30,25.1,30.0,68.67,75.51,951.14
37,8.37,8.04,4.97,13.94,46.24,71.4922,160.6177,58.2692,UB 203x133x25,UC 203x203x46,25.1,46.1,99.23,52.58,1740.25
38,6.04,9.17,3.5,17.61,50.38,103.4077,184.304,81.693,UB 254x146x31,UC 203x203x46,31.1,46.1,94.96,71.19,1591.46
39,6.53,5.67,3.5,46.93,49.88,127.4294,336.153,122.7128,UB 305x165x40,UC 203x203x60,40.5,60.0,74.14,84.02,1828.2
40,9.17,7.3,3.1,49.97,85.24,285.2736,496.743,285.2736,UB 406x178x54,UC 305x305x97,54.3,96.9,95.17,79.93,2990.2
41,9.81,9.56,4.7,16.65,53.71,113.6568,214.9652,101.1337,UB 305x165x40,UC 203x203x46,40.5,46.1,66.13,87.31,2435.65
42,5.28,6.41,3.12,25.16,98.68,77.044,245.7402,52.178,UB 254x146x31,UC 203x203x46,31.1,46.1,70.75,53.4,1302.45
43,5.59,8.7,3.91,26.92,96.16,148.6091,288.5034,106.0878,UB 305x165x40,UC 203x203x46,40.5,46.1,86.46,95.49,1878.49
44,9.97,7.33,4.44,16.19,36.7,103.3268,176.7435,103.3268,UB 254x146x31,UC 203x203x46,31.1,46.1,94.88,86.55,1894.8
45,9.81,7.48,4.08,39.92,15.14,250.413,360.2484,250.413,UB 406x178x54,UC 254x254x89,54.3,89.0,83.54,85.62,3330.17
46,7.51,7.02,4.71,16.3,96.47,65.0938,214.8895,53.9884,UB 203x133x25,UC 152x152x30,25.1,30.0,90.35,99.88,1294.61
47,4.48,5.11,4.19,37.01,31.17,82.3494,208.633,38.4517,UB 254x146x31,UC 152x152x30,31.1,30.0,75.62,76.42,1099.3
48,4.72,9.34,3.49,33.78,65.74,204.6246,303.2134,163.7277,UB 356x171x45,UC 254x254x73,45.0,73.1,96.01,71.86,2285.88
